lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2UT00229&tabIndex=1,S2UT00229,"AALDERS, TIMOTHY NOEL",S,UT,0,REP,CHALLENGER,HIGHLAND,UT,84003,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA01110&tabIndex=1,H2CA01110,"AANESTAD, SAMUEL",H,CA,1,REP,CHALLENGER,PENN VALLEY,CA,95946,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2MT00039&tabIndex=1,H2MT00039,"ABARR, JOHN ALLEN",H,MT,0,DEM,OPEN,GREAT FALLS,MT,59401,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2AZ02279&tabIndex=1,H2AZ02279,"ABOUD, PAULA ANN",H,AZ,2,DEM,CHALLENGER,TUCSON,AZ,85719,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2KY05144&tabIndex=1,H2KY05144,"ACKERMAN, MICHAEL",H,KY,5,DEM,CHALLENGER,MOREHEAD,KY,40351,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2AZ00281&tabIndex=1,S2AZ00281,"ACLE, LUIS",S,AZ,0,REP,OPEN,YUMA,AZ,853646212,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA25176&tabIndex=1,H2CA25176,"ACOSTA, DANTE",H,CA,25,REP,CHALLENGER,SANTA CLARITA,CA,91387,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2FL14202&tabIndex=1,H2FL14202,"ADAMS JR., EDDIE",H,FL,14,REP,OPEN,TAMPA,FL,33637,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA08180&tabIndex=1,H2CA08180,"ADAMS, ANTHONY T",H,CA,8,NPA,CHALLENGER,SANTA ANA,CA,92705,2012
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P20003232&tabIndex=1,P20003232,"ADAMS, DOROTHY ANN",P,US,0,,CHALLENGER,DONNA,TX,78537,2012
