lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4UT04052&tabIndex=1,H4UT04052,"AALDERS, TIM",H,UT,4,IAP,OPEN,HIGHLAND,UT,84003,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4MI03201&tabIndex=1,H4MI03201,"ABBOTT, RICHARD ALLEN IV",H,MI,3,DEM,CHALLENGER,GRAND RAPIDS,MI,49525,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4MN00353&tabIndex=1,S4MN00353,"ABELER, JAMES J",S,MN,0,REP,CHALLENGER,ANOKA,MN,55303,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4LA00156&tabIndex=1,S4LA00156,"ABLES, MURIEL WAYNE",S,LA,0,DEM,CHALLENGER,BREAUX BRIDGE,LA,70517,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4UT03187&tabIndex=1,H4UT03187,ABRAHAM,H,UT,3,IAP,CHALLENGER,MOAB,UT,84532,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4LA05221&tabIndex=1,H4LA05221,"ABRAHAM, RALPH LEE",H,LA,5,REP,CHALLENGER,RAYVILLE,LA,71269,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY04067&tabIndex=1,H4NY04067,"ABRAHAMS, KEVAN",H,NY,4,DEM,OPEN,FREEPORT,NY,11520,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY07011&tabIndex=1,H4NY07011,"ACKERMAN, GARY L.",H,NY,5,DEM,CHALLENGER,ROSLYN HEIGHTS,NY,11577,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4CO00296&tabIndex=1,S4CO00296,"ACOSTA, RAUL",S,CO,0,IND,CHALLENGER,COLORADO SPRINGS,CO,80920,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NC03043&tabIndex=1,H8NC03043,"ADAME, MARSHALL RICHARD",H,NC,3,DEM,CHALLENGER,JACKSONVILLE,NC,28546,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NC12100&tabIndex=1,H4NC12100,"ADAMS, ALMA SHEALEY",H,NC,12,DEM,INCUMBENT,GREENSBORO,NC,27406,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NC06078&tabIndex=1,H4NC06078,"ADAMS, DANIELLE",H,NC,6,DEM,OPEN,DURHAM,NC,27717,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4MT00100&tabIndex=1,S4MT00100,"ADAMS, DIRK STANDLEY",S,MT,0,DEM,CHALLENGER,WILSALL,MT,59086,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OH15099&tabIndex=1,H0OH15099,"ADAMS, JOHN",H,OH,3,REP,CHALLENGER,UPPER ARLINGTON,OH,43220,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4CA41120&tabIndex=1,H4CA41120,"ADAMS, STEVE",H,CA,41,REP,CHALLENGER,RIVERSIDE,CA,92505,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4TN00328&tabIndex=1,S4TN00328,"ADAMS, TERRY GLEN JR",S,TN,0,DEM,CHALLENGER,KNOXVILLE,TN,37919,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4SC05058&tabIndex=1,H4SC05058,"ADAMS, THOMAS A",H,SC,5,DEM,CHALLENGER,FORT MILL,SC,29715,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0PA13080&tabIndex=1,H0PA13080,"ADCOCK, CARSON DEE",H,PA,13,REP,OPEN,RYDAL,PA,19046,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4MA00242&tabIndex=1,S4MA00242,"ADDIVINOLA, FRANK J JR",S,MA,0,REP,CHALLENGER,BOSTON,MA,2108,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AL04098&tabIndex=1,H6AL04098,"ADERHOLT, ROBERT B. REP.",H,AL,4,REP,INCUMBENT,HALEYVILLE,,355651158,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4TN00369&tabIndex=1,S4TN00369,"AGNEW, FRANK CHRISTIAN",S,TN,0,REP,CHALLENGER,MOUNT JULIET,,,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA31125&tabIndex=1,H2CA31125,"AGUILAR, PETE",H,CA,31,DEM,OPEN,SAN BERNARDINO,CA,92423,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NC02127&tabIndex=1,H4NC02127,"AIKEN, CLAYTON CLAY",H,NC,2,DEM,CHALLENGER,CARY,NC,275193809,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX28079&tabIndex=1,H4TX28079,"AIKENS, WILLIAM",H,TX,28,LIB,CHALLENGER,SAN ANTONIO,TX,78230,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6IN10174&tabIndex=1,H6IN10174,"AJABU, MMOJA",H,IN,7,DEM,CHALLENGER,INDIANAPOLIS,IN,46228,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4TX00516&tabIndex=1,S4TX00516,"ALAMEEL, DAVID M",S,TX,0,DEM,CHALLENGER,DALLAS,TX,75230,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4MO05325&tabIndex=1,H4MO05325,"ALAO, SAMUEL AKINNIYI",H,MO,5,REP,CHALLENGER,KANSAS CITY,MO,64129,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4CA32103&tabIndex=1,H4CA32103,"ALAS, ARTURO E III",H,CA,32,REP,CHALLENGER,LOS ANGELES,CA,90032,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TN09071&tabIndex=1,H4TN09071,"ALBERSON, FLOYD WAYNE",H,TN,9,IND,CHALLENGER,CORDOVA,TN,38016,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4AL01214&tabIndex=1,H4AL01214,"ALBERT-KAIGLER, LULA",H,AL,1,DEM,OPEN,CITRONELLE,AL,36522,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX18096&tabIndex=1,H4TX18096,"ALESSI, REMINGTON",H,TX,18,GRE,CHALLENGER,HOUSTON,TX,77023,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4MD07082&tabIndex=1,H4MD07082,"ALEXANDER, BRYANT",H,MD,7,DEM,CHALLENGER,BALTIMORE,MD,21218,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TN00058&tabIndex=1,S2TN00058,"ALEXANDER, LAMAR",S,TN,0,REP,INCUMBENT,ALEXANDRIA,VA,22314,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX15126&tabIndex=1,H4TX15126,"ALEXANDER, LEWIS",H,TX,15,LIB,CHALLENGER,SEGUIN,TX,78155,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4NC00220&tabIndex=1,S4NC00220,"ALEXANDER, TED",S,NC,0,REP,CHALLENGER,SHELBY,NC,28150,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4CA24175&tabIndex=1,H4CA24175,"ALLEN, BRAD DR",H,CA,24,REP,CHALLENGER,SUMMERLAND,CA,93067,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA09091&tabIndex=1,H0CA09091,"ALLEN, LARRY",H,CA,13,PAF,CHALLENGER,OAKLAND,CA,94610,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2GA12121&tabIndex=1,H2GA12121,"ALLEN, RICHARD W",H,GA,12,REP,CHALLENGER,AUGUSTA,GA,30904,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4MA09052&tabIndex=1,H4MA09052,"ALLIEGRO, MARK C",H,MA,9,REP,CHALLENGER,EAST FALMOUTH,MA,2536,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4HI00151&tabIndex=1,S4HI00151,"ALLISON, JOY JENNIFER",S,HI,0,OTH,CHALLENGER,WAIKOLOA,HI,96738,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NV02136&tabIndex=1,H4NV02136,"ALM, VANCE STEVEN",H,NV,2,DEM,CHALLENGER,RENO,NV,89511,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2PR00065&tabIndex=1,H2PR00065,"ALOMAR, RAFAEL COX",H,PR,0,DEM,CHALLENGER,SAN JUAN,PR,936,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4IL00461&tabIndex=1,S4IL00461,"ALVAREZ, ARMEN",S,IL,0,REP,CHALLENGER,CHICAGO,IL,60623,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA11337&tabIndex=1,H0CA11337,"AMADOR, ANTONIO CANDIA",H,CA,9,REP,CHALLENGER,RANCHO STA MARGARI,CA,92688,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MI03126&tabIndex=1,H0MI03126,"AMASH, JUSTIN",H,MI,3,REP,INCUMBENT,GRAND RAPIDS,MI,49506,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4AS00036&tabIndex=1,H4AS00036,"AMATA, AUMUA",H,AS,0,REP,CHALLENGER,PAGO PAGO,AS,96799,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX36015&tabIndex=1,H4TX36015,"AMDUR, JOHN",H,TX,36,REP,OPEN,HOUSTON,TX,77258,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2NV02395&tabIndex=1,H2NV02395,"AMODEI, MARK EUGENE",H,NV,2,REP,INCUMBENT,CARSON CITY,,89703,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2TN07178&tabIndex=1,H2TN07178,"AMOUZOUVIK, CREDO COMLAN",H,TN,7,DEM,CHALLENGER,CLARKSVILLE,TN,37043,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4FL18050&tabIndex=1,H4FL18050,"ANDEL, ELLEN",H,FL,18,REP,CHALLENGER,JUNO BEACH,FL,33408,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4CA18086&tabIndex=1,H4CA18086,"ANDERSON, BRUCE GORDON",H,CA,18,REP,CHALLENGER,PALO ALTO,CA,94306,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4WI03128&tabIndex=1,H4WI03128,"ANDERSON, CHRISTOPHER J",H,WI,3,REP,CHALLENGER,LA CROSSE,WI,54601,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IL14078&tabIndex=1,H2IL14078,"ANDERSON, DENNIS",H,IL,14,DEM,CHALLENGER,GURNEE,IL,60031,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2TN00306&tabIndex=1,S2TN00306,"ANDERSON, FRED R.",S,TN,0,REP,CHALLENGER,MARYVILLE,TN,37804,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4HI01118&tabIndex=1,H4HI01118,"ANDERSON, IKAIKA",H,HI,1,DEM,OPEN,HONOLULU,HI,96808,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4IN00113&tabIndex=1,S4IN00113,"ANDERSON, JEREMY T""""",S,IN,0,REP,CHALLENGER,BOISE,ID,83719,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4ID00083&tabIndex=1,S4ID00083,"ANDERSON, JEREMY 'T'",S,ID,0,REP,CHALLENGER,BOISE,ID,83719,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TN04189&tabIndex=1,H4TN04189,"ANDERSON, JOHN",H,TN,4,REP,CHALLENGER,BELL BUCKLE,TN,37020,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OH07104&tabIndex=1,H0OH07104,"ANDERSON, JOHN DAVID",H,OH,10,REP,CHALLENGER,ENON,OH,45323,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4CA39041&tabIndex=1,H4CA39041,"ANDERSON, PETER O",H,CA,39,DEM,CHALLENGER,FULLERTON,CA,92835,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4LA06070&tabIndex=1,H4LA06070,"ANDERSON, QUENTIN ANTHONY",H,LA,6,DEM,OPEN,BATON ROUGE,LA,70820,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NC07084&tabIndex=1,H4NC07084,"ANDRADE, CHRISTOPHER ALEN",H,NC,7,REP,OPEN,FAYETTEVILLE,NC,28314,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4VT00116&tabIndex=1,H4VT00116,"ANDREWS, MATTHEW",H,VT,0,LBU,CHALLENGER,PLAINFIELD,VT,5667,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NJ10119&tabIndex=1,H4NJ10119,"ANGEL, DARK",H,NJ,10,OTH,CHALLENGER,NEWARK,NJ,7104,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4LA04026&tabIndex=1,H4LA04026,"ANSLEY, JUSTIN",H,LA,4,DEM,CHALLENGER,BOSSIER,LA,71111,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4IA03065&tabIndex=1,H4IA03065,"APPEL, STACI",H,IA,3,DEM,OPEN,ACKWORTH,IA,50001,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2OH07142&tabIndex=1,H2OH07142,"APPLEGATE, RALPH A.",H,OH,3,UNK,CHALLENGER,COLUMBUS,OH,43227,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4MI01122&tabIndex=1,H4MI01122,"ARCAND, ALAN DAVID",H,MI,1,REP,CHALLENGER,IRON RIVER,MI,49935,2014
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4PA13165&tabIndex=1,H4PA13165,"ARKOOSH, VALERIE ANN",H,PA,13,DEM,OPEN,GLENSIDE,PA,19038,2014
